City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,13.43,77,98,2.24,ZA,1686606879
1,albany,42.6001,-73.9662,26.23,52,100,0.89,US,1686606651
2,gbadolite,4.2833,21.0167,21.85,95,86,0.69,CD,1686606949
3,yellowknife,62.456,-114.3525,9.29,57,75,6.17,CA,1686606622
4,puerto ayora,-0.7393,-90.3518,29.98,88,47,2.68,EC,1686606840
5,n'zeto,-7.2312,12.8666,22.3,91,42,2.46,AO,1686606949
6,edinburgh of the seven seas,-37.0676,-12.3116,15.93,94,100,11.87,SH,1686606853
7,adamstown,-25.066,-130.1015,19.99,65,16,3.17,PN,1686606848
8,sitka,57.0531,-135.33,12.94,62,75,3.6,US,1686606858
9,arac,41.2422,33.3277,13.18,96,10,0.57,TR,1686606949
10,buka,40.8108,69.1986,26.17,34,97,1.24,UZ,1686606949
11,kone,-21.0595,164.8658,23.37,55,28,2.23,NC,1686606901
12,tralee,52.2704,-9.7026,14.4,94,60,1.65,IE,1686606949
13,saipan,15.1355,145.701,29.39,100,40,5.14,MP,1686606854
14,port-aux-francais,-49.35,70.2167,6.44,92,100,14.22,TF,1686606841
15,tiksi,71.6872,128.8694,1.57,91,73,1.21,RU,1686606842
16,thompson,55.7435,-97.8558,25.48,36,33,3.48,CA,1686606853
17,isafjordur,66.0755,-23.124,11.02,58,20,5.14,IS,1686606860
18,ushuaia,-54.8,-68.3,4.81,75,20,16.98,AR,1686606794
19,waitangi,-43.9535,-176.5597,11.01,95,91,0.89,NZ,1686606848
20,grytviken,-54.2811,-36.5092,-2.08,94,72,2.94,GS,1686606841
21,hermanus,-34.4187,19.2345,14.89,81,100,10.96,ZA,1686606871
22,vilyuysk,63.7553,121.6247,8.61,51,0,4.32,RU,1686606847
23,blackmans bay,-43.0167,147.3167,5.41,89,55,2.99,AU,1686606846
24,olonkinbyen,70.9221,-8.7187,1.16,89,96,7.85,SJ,1686606841
25,dawei,14.0833,98.2,25.07,94,94,1.9,MM,1686606951
26,tanjung pandan,-2.75,107.65,25.68,91,90,2.43,ID,1686606951
27,villa elisa,-25.3667,-57.6167,10.77,66,0,7.2,PY,1686606951
28,atafu village,-8.5421,-172.5159,28.44,77,19,5.31,TK,1686606849
29,college,64.8569,-147.8028,16.18,43,75,7.72,US,1686606851
30,mejit,10.2753,170.8646,27.88,81,59,8.26,MH,1686606851
31,talnakh,69.4865,88.3972,7.34,96,100,3.53,RU,1686606843
32,sao francisco,-15.9486,-44.8644,26.34,33,35,1.87,BR,1686606951
33,crucecita,-28.95,-58.9833,7.78,41,0,2.63,AR,1686606951
34,ouadda,8.0777,22.4007,20.36,98,64,0.98,CF,1686606951
35,hadibu,12.65,54.0333,28.04,78,100,8.73,YE,1686606843
36,murzuq,25.9155,13.9184,30.32,24,0,5.46,LY,1686606906
